"","satisfacao","ultima_avaliacao","volume_projetos","media_horas_mensais","tempo_cia","acidente_trabalho","saiu","promocao_ultimos_5_anos","comercial","salario"
"150",0.39,"0.5",2,"147",3,0,1,0,"marketing","baixo"
"151",0.11,"0.91",6,"278",4,0,1,0,"marketing","baixo"
"152",0.45,"0.56",2,"154",3,0,1,0,"marketing","baixo"
"153",0.37,"0.52",2,"143",3,0,1,0,"marketing","baixo"
"154",0.4,"0.52",2,"155",3,0,1,0,"marketing","baixo"
"155",0.39,"0.48",2,"160",3,0,1,0,"comercial","baixo"
"156",0.11,"0.8",6,"304",NA,0,1,0,"contabilidade","baixo"
"157",0.83,"1",5,"240",5,0,1,0,"suporte","baixo"
"158",0.11,"0.92",6,"305",4,0,1,0,"area tecnica","baixo"
"159",0.39,"0.5",2,"136",3,0,1,0,"gerencia","baixo"
"160",0.45,"0.45",2,"132",3,0,1,0,"marketing","baixo"
"161",0.1,"0.95",7,"301",4,0,1,0,"marketing","baixo"
"162",NA,"0.98",5,"243",6,0,1,0,"marketing","baixo"
"163",0.45,"0.51",2,"147",3,0,1,0,"comercial","baixo"
"164",0.79,"0.89",5,"239",5,0,1,0,"comercial","baixo"
"165",0.9,"0.99",5,"260",5,0,1,0,"comercial","baixo"
"166",0.11,"0.84",7,"296",4,0,1,0,"comercial","baixo"
"167",0.43,"0.55",2,"129",3,0,1,0,"comercial","baixo"
"168",0.31,"0.54",5,"132",5,0,1,0,"comercial","baixo"
"169",0.32,"0.5",2,"135",5,0,1,0,"comercial","baixo"
"170",0.45,"0.57",2,"158",3,0,1,0,"comercial","baixo"
"171",0.81,"0.99",4,"259",5,0,1,0,"comercial","baixo"
"172",0.41,"0.46",2,"160",3,0,1,1,"comercial","baixo"
"173",0.11,"0.78",7,"278",4,0,1,0,"comercial","baixo"
"174",0.1,"0.88",6,"284",4,0,1,0,"comercial","baixo"
"175",0.7,"0.53",2,"274",4,0,1,0,"comercial","baixo"
"176",0.54,"0.74",4,"164",2,0,1,0,"comercial","baixo"
"177",0.41,"0.48",2,"148",3,0,1,0,"comercial","baixo"
"178",0.38,"0.5",2,"140",3,0,1,0,"comercial","mediano"
"179",0.37,"0.51",2,"127",3,0,1,0,"comercial","mediano"
"180",0.11,"0.85",6,"308",5,0,1,0,"comercial","mediano"
"181",0.4,"0.47",2,"146",3,0,1,0,"comercial","mediano"
"182",0.1,"0.84",6,"261",4,0,1,0,"contabilidade","mediano"
"183",0.89,"0.99",5,"257",5,0,1,0,"contabilidade","mediano"
"184",0.11,"0.8",6,"285",4,0,1,0,"contabilidade","mediano"
"185",0.36,"0.55",2,"141",3,0,1,0,"RH","mediano"
"186",NA,"0.46",2,"127",NA,0,1,0,"RH","mediano"
"187",0.09,"0.85",6,"297",4,0,1,0,"RH","mediano"
"188",0.4,"0.46",2,"143",3,0,1,0,"RH","mediano"
"189",0.37,"0.55",2,"152",3,0,1,0,"area tecnica","mediano"
"190",0.44,"0.51",2,"156",3,0,1,0,"area tecnica","alto"
"191",0.09,"0.8",7,"283",5,0,1,0,"area tecnica","baixo"
"192",0.92,"0.87",4,"226",6,1,1,0,"area tecnica","mediano"
"193",0.74,"0.91",4," ",5,0,1,0,"area tecnica","mediano"
"194",0.09,"0.82",6,"249",4,0,1,0,"area tecnica","mediano"
"195",0.89,"0.95",4,"275",5,0,1,0,"area tecnica","mediano"
"196",0.09,"0.8",6,"304",4,0,1,0,"area tecnica","baixo"
"197",0.27,"0.54",7,"278",3,0,1,0,"area tecnica","baixo"
"198",0.1,"0.91",6,"287",4,0,1,0,"area tecnica","baixo"
"199",0.1,"0.89",7,"285",4,0,1,0,"area tecnica","baixo"
"200",0.77,"0.94",5,"226",6,0,1,0,"suporte","baixo"
"201",0.9,"0.82",5,"259",5,0,1,0,"suporte","baixo"
"202",0.39,"0.5",2,"135",3,0,1,0,"suporte","baixo"
"203",0.76,"1",5,"219",5,0,1,0,"suporte","baixo"
"204",0.1,"0.93",6,"256",4,0,1,0,"suporte","baixo"
"205",0.87,"0.9",5,"254",6,0,1,0,"suporte","baixo"
"206",0.38,"0.5",2,"153",3,0,1,0,"suporte","baixo"
"207",0.77,"0.99",5,"228",5,0,1,0,"suporte","baixo"
"208",0.78,"0.87",4,"228",5,0,1,0,"suporte","baixo"
"209",0.44,"0.5",2,"128",3,0,1,0,"suporte","baixo"
"210",0.38,"0.52",2,"153",3,0,1,0,"suporte","baixo"
"211",0.43,"0.46",2,"156",3,0,1,0,"area tecnica","baixo"
"212",0.39,"0.5",4,"294",3,0,1,0,"area tecnica","baixo"
"213",0.88,"1",5," ",5,0,1,0,"area tecnica","baixo"
"214",0.45,"0.46",2,"153",3,0,1,0,"gerencia","baixo"
"215",0.4,"0.53",2,"151",3,0,1,0,"TI","baixo"
"216",0.36,"0.51",2,"155",3,0,1,0,"TI","baixo"
"217",0.36,"0.48",2,"158",3,0,1,0,"TI","baixo"
"218",0.9,"0.98",5,"245",5,0,1,0,"TI","baixo"
"219",0.43,"0.53",2,"131",NA,0,1,0,"TI","baixo"
"220",0.89,"0.87",5,"225",5,0,1,0,"produtos","baixo"
"221",0.1,"0.84",6,"286",4,0,1,0,"produtos","baixo"
"222",0.37,"0.5",2,"135",3,0,1,0,"produtos","baixo"
"223",0.37,"0.51",2,"153",3,0,1,0,"produtos","baixo"
"224",0.87,"0.9",5,"252",5,0,1,0,"TI","baixo"
"225",0.4,"0.56",2,"149",3,0,1,0,"contabilidade","baixo"
"226",0.9,"0.97",4,"258",5,0,1,0,"contabilidade","baixo"
"227",0.37,"0.46",2,"158",3,0,1,0,"RH","baixo"
"228",0.44,"0.54",2,"149",3,0,1,0,"RH","baixo"
"229",0.85,"0.95",5,"236",5,0,1,0,"RH","baixo"
"230",0.78,"0.98",5,"239",6,0,1,0,"marketing","baixo"
"231",0.42,"0.47",2,"159",3,0,1,0,"marketing","baixo"
"232",0.92,"0.99",5,"255",NA,0,1,0,"comercial","baixo"
"233",0.11,"0.83",6,"244",4,0,1,0,"contabilidade","baixo"
"234",0.42,"0.56",2,"134",3,0,1,0,"suporte","baixo"
"235",0.48,"0.57",4,"270",4,0,1,0,"area tecnica","baixo"
"236",0.83,"0.85",4,"255",NA,0,1,0,"gerencia","baixo"
"237",0.4,"0.53",2,"151",3,0,1,0,"marketing","baixo"
"238",0.43,"0.45",2,"135",3,0,1,0,"marketing","baixo"
"239",0.43,"0.53",2,"146",3,0,1,0,"marketing","baixo"
"240",0.1,"0.97",7,"254",4,0,1,0,"comercial","baixo"
"241",0.1,"0.87",7,"289",4,0,1,0,"comercial","baixo"
"242",0.37,"0.46",2,"156",3,0,1,0,"comercial","baixo"
"243",0.38,"0.53",2,"156",3,0,1,0,"comercial","baixo"
"244",0.4,"0.5",2,"128",3,0,1,0,"comercial","baixo"
"245",0.89,"0.86",5,"275",5,0,1,0,"comercial","baixo"
"246",0.45,"0.46",2,"155",3,0,1,0,"comercial","baixo"
"247",0.37,"0.48",2,"159",3,0,1,0,"comercial","baixo"
"248",0.46,"0.49",2,"148",3,0,1,0,"comercial","baixo"
"249",0.87,"0.91",4," ",5,0,1,0,"comercial","baixo"
"250",0.11,"0.84",6,"298",4,0,1,0,"comercial","baixo"
"251",0.79,"0.87",5,"261",NA,0,1,0,"comercial","baixo"
"252",0.79,"0.92",5,"254",6,0,1,0,"comercial","baixo"
"253",0.19,"0.59",7,"192",3,0,1,0,"comercial","baixo"
"254",0.87,"0.98",4," ",5,0,1,0,"comercial","baixo"
"255",0.6,"0.92",2,"258",NA,0,1,0,"comercial","baixo"
"256",0.44,"0.45",2,"156",3,0,1,0,"comercial","mediano"
"257",0.11,"0.81",6,"266",4,1,1,0,"comercial","mediano"
"258",0.42,"0.54",2,"156",3,0,1,0,"comercial","mediano"
"259",0.88,"0.88",5,"232",5,1,1,0,"contabilidade","mediano"
"260",0.11,"0.84",6,"287",4,0,1,0,"contabilidade","mediano"
"261",0.46,"0.46",2,"154",3,0,1,0,"contabilidade","mediano"
"262",0.82,"0.97",5,"263",5,0,1,0,"RH","mediano"
"263",0.44,"0.56",2,"131",3,0,1,0,"RH","mediano"
"264",0.11,"0.78",6,"260",4,0,1,0,"RH","mediano"
"265",NA,"0.5",2,"139",3,0,1,0,"RH","mediano"
"266",0.84,"0.93",4,"251",NA,0,1,0,"area tecnica","mediano"
"267",0.11,"0.95",6,"286",4,0,1,0,"area tecnica","mediano"
"268",0.45,"0.53",2,"129",3,0,1,0,"area tecnica","alto"
"269",0.38,"0.56",2,"156",3,0,1,0,"area tecnica","baixo"
"270",0.38,"0.86",6,"139",6,0,1,0,"area tecnica","mediano"
"271",0.44,"0.51",2,"127",3,0,1,0,"area tecnica","mediano"
"272",0.11,"0.84",6,"251",4,0,1,0,"area tecnica","mediano"
"273",0.81,"0.93",5,"270",5,0,1,0,"area tecnica","mediano"
"274",0.09,"0.96",6,"296",4,0,1,0,"area tecnica","baixo"
"275",0.11,"0.9",6,"254",4,0,1,0,"area tecnica","baixo"
"276",0.81,"0.95",5,"238",6,0,1,0,"area tecnica","baixo"
"277",0.1,"0.97",6,"267",4,1,1,0,"suporte","baixo"
"278",0.74,"0.89",5,"229",6,0,1,0,"suporte","baixo"
"279",0.09,"0.78",6,"254",4,0,1,0,"suporte","baixo"
"280",0.82,"0.81",4,"233",4,1,1,0,"suporte","baixo"
"281",0.1,"0.98",6,"268",4,0,1,0,"suporte","baixo"
"282",0.27,"0.56",3,"301",3,0,1,0,"suporte","baixo"
"283",0.83,"0.92",5,"267",6,0,1,0,"suporte","baixo"
"284",0.1,"0.93",6,"289",4,1,1,0,"suporte","baixo"
"285",0.38,"0.47",2,"144",3,0,1,0,"suporte","baixo"
"286",0.4,"0.56",2,"148",3,0,1,0,"suporte","baixo"
"287",0.11,"0.83",6,"306",4,0,1,0,"suporte","baixo"
"288",0.11,"0.79",6,"292",4,0,1,1,"area tecnica","baixo"
"289",0.82,"0.91",5,"232",5,0,1,0,"area tecnica","baixo"
"290",0.36,"0.48",2,"137",3,0,1,0,"area tecnica","baixo"
"291",0.4,"0.46",2,"128",3,0,1,0,"gerencia","baixo"
"292",0.87,"0.84",5,"231",5,0,1,0,"TI","baixo"
"293",0.41,"0.49",2,"146",3,0,1,0,"TI","baixo"
"294",0.11,"0.91",6,"308",4,1,1,0,"TI","baixo"
"295",0.1,"0.93",6,"253",4,0,1,0,"TI","mediano"
"296",0.38,"0.51",2,"146",3,0,1,0,"TI","mediano"
"297",0.39,"0.55",2,"156",3,0,1,0,"produtos","mediano"
"298",0.4,"0.52",2,"147",3,0,1,0,"produtos","mediano"
"299",0.45,"0.48",2,"136",3,0,1,0,"produtos","mediano"
"300",0.74,"0.84",5,"249",5,0,1,0,"produtos","mediano"
"301",0.45,"0.55",2,"151",3,0,1,0,"TI","mediano"
"302",0.12,"1",3,"278",4,0,1,0,"P&D","mediano"
"303",0.1,"0.77",7,"250",5,0,1,0,"P&D","mediano"
"304",0.37,"0.55",2,"127",3,0,1,0,"P&D","mediano"
"305",0.89,"0.87",5,"255",5,0,1,0,"P&D","mediano"
"306",0.45,"0.47",2,"135",3,0,1,0,"P&D","mediano"
"307",0.37,"0.46",2,"149",3,0,1,0,"marketing","alto"
"308",0.11,"0.81",5,"287",NA,0,1,0,"comercial","baixo"
"309",0.41,"0.48",2,"145",3,0,1,0,"contabilidade","mediano"
"310",0.1,"0.94",6,"285",4,0,1,0,"suporte","mediano"
"311",0.1,"0.93",7,"305",NA,0,1,0,"area tecnica","mediano"
"312",0.11,"0.95",7," ",4,0,1,0,"gerencia","mediano"
"313",0.4,"0.54",2,"139",3,0,1,0,"marketing","baixo"
"314",0.41,"0.49",2,"130",3,0,1,0,"marketing","baixo"
"315",0.1,"0.81",6,"268",4,0,1,0,"marketing","baixo"
"316",0.73,"0.86",4,"245",6,0,1,0,"comercial","baixo"
"317",0.43,"0.47",2,"135",3,0,1,0,"comercial","baixo"
"318",0.37,"0.46",2,"153",3,0,1,0,"comercial","baixo"
"319",0.11,"0.94",6,"276",NA,0,1,0,"comercial","baixo"
"320",0.4,"0.46",2,"130",3,0,1,0,"comercial","baixo"
"321",0.41,"0.54",2,"153",3,1,1,0,"comercial","baixo"
"322",0.82,"0.84",5,"244",5,0,1,0,"comercial","baixo"
"323",0.61,"0.47",2,"253",3,0,1,0,"comercial","baixo"
"324",0.11,"0.91",7,"287",4,0,1,0,"comercial","baixo"
"325",0.37,"0.45",2,"131",3,0,1,0,"comercial","baixo"
"326",0.41,"0.52",2,"135",3,0,1,0,"comercial","baixo"
"327",0.37,"0.52",2,"157",3,0,1,0,"comercial","baixo"
"328",0.88,"0.99",5,"262",6,0,1,0,"comercial","baixo"
"329",0.1,"0.85",6,"266",4,0,1,0,"comercial","baixo"
"330",0.44,"0.48",2,"148",3,0,1,0,"comercial","baixo"
"331",0.38,"0.57",2,"140",3,0,1,0,"comercial","baixo"
"332",NA,"0.85",7,"302",4,0,1,0,"comercial","baixo"
"333",0.09,"0.98",6,"271",4,0,1,0,"comercial","baixo"
"334",0.45,"0.52",2,"145",3,0,1,0,"comercial","mediano"
"335",0.1,"0.81",6,"290",4,0,1,0,"contabilidade","mediano"
"336",0.45,"0.47",2,"151",3,0,1,0,"contabilidade","mediano"
"337",0.77,"0.87",5,"266",5,0,1,0,"contabilidade","mediano"
"338",0.44,"0.51",2,"140",3,0,1,0,"RH","mediano"
"339",0.39,"0.5",2,"142",3,0,1,0,"RH","mediano"
"340",NA,"0.91",6,"246",4,0,1,0,"RH","mediano"
"341",0.09,"0.89",7,"308",5,0,1,0,"RH","mediano"
"342",0.37,"0.47",2,"141",3,0,1,0,"area tecnica","mediano"
"343",0.9,"1",5,"232",5,0,1,0,"area tecnica","mediano"
"344",0.41,"0.56",2,"143",3,0,1,0,"area tecnica","mediano"
"345",0.37,"0.52",2,"155",3,0,1,0,"area tecnica","mediano"
"346",0.1,"0.86",6,"278",4,0,1,0,"area tecnica","alto"
"347",NA,"1",4," ",5,0,1,0,"area tecnica","baixo"
"348",0.11,"0.8",6,"282",4,0,1,0,"area tecnica","mediano"
"349",0.11,"0.84",7,"264",4,0,1,0,"area tecnica","mediano"
"350",0.4,"0.46",2,"149",3,0,1,0,"area tecnica","mediano"
"351",0.09,"0.8",6,"304",5,0,1,0,"area tecnica","mediano"
"352",0.48,"0.93",3," ",6,0,1,0,"area tecnica","baixo"
"353",0.91,"0.91",4," ",NA,0,1,0,"suporte","baixo"
"354",0.43,"0.57",2," ",3,0,1,0,"suporte","baixo"
"355",0.33,"0.88",6,"219",5,0,1,0,"suporte","baixo"
"356",0.41,"0.57",2,"136",3,0,1,0,"suporte","baixo"
"357",0.41,"0.55",2,"154",3,0,1,0,"suporte","baixo"
"358",0.37,"0.54",2,"149",3,0,1,0,"suporte","baixo"
"359",0.31,"0.62",6,"135",5,0,1,0,"suporte","baixo"
"360",0.09,"0.91",6,"275",NA,0,1,0,"suporte","baixo"
"361",0.1,"0.87",6,"290",4,0,1,0,"suporte","baixo"
"362",0.76,"0.9",4,"263",5,0,1,0,"suporte","baixo"
"363",0.41,"0.54",2,"145",3,0,1,0,"suporte","baixo"
"364",0.72,"0.96",5,"267",5,0,1,0,"area tecnica","baixo"
"365",0.4,"0.5",2,"141",3,1,1,0,"area tecnica","baixo"
"366",0.91,"0.87",4,"235",5,0,1,0,"area tecnica","baixo"
"367",0.1,"0.83",6,"258",4,0,1,0,"gerencia","baixo"
"368",0.4,"0.56",2,"131",3,0,1,0,"TI","baixo"
"369",0.82,"0.86",5,"243",5,0,1,0,"TI","baixo"
"370",0.1,"0.82",6,"266",4,0,1,0,"TI","baixo"
"371",0.37,"0.45",2,"142",3,0,1,0,"TI","baixo"
"372",NA,"0.51",2,"135",3,0,1,0,"TI","baixo"
"373",0.39,"0.48",2,"141",3,0,1,0,"produtos","mediano"
"374",0.36,"0.57",2,"142",3,0,1,0,"produtos","mediano"
"375",0.86,"0.84",5,"254",5,0,1,0,"produtos","mediano"
"376",0.73,"0.99",5,"262",5,0,1,0,"produtos","mediano"
"377",0.56,"0.71",4,"296",2,0,1,0,"TI","mediano"
"378",0.44,"0.56",2,"158",3,0,1,0,"contabilidade","mediano"
"379",0.31,"0.56",4,"238",2,0,1,0,"contabilidade","mediano"
"380",0.77,"0.93",4,"231",5,0,1,0,"RH","mediano"
"381",0.44,"0.45",2,"156",3,0,1,0,"RH","mediano"
"382",0.38,"0.46",2,"145",3,0,1,0,"RH","mediano"
"383",0.45,"0.48",2,"144",3,0,1,0,"marketing","mediano"
"384",0.38,"0.51",2,"159",3,0,1,0,"comercial","mediano"
"385",0.36,"0.48",2,"156",3,0,1,0,"contabilidade","alto"
"386",0.75,"0.9",5,"256",5,0,1,0,"suporte","baixo"
"387",0.1,"0.93",6,"298",4,0,1,0,"area tecnica","mediano"
"388",0.1,"0.97",6,"247",NA,0,1,0,"gerencia","mediano"
"389",NA,"0.5",2,"157",3,0,1,0,"marketing","mediano"
"390",0.42,"0.57",2,"154",3,1,1,0,"marketing","mediano"
"391",0.78,"1",4,"253",5,0,1,0,"marketing","baixo"
"392",0.45,"0.55",2,"148",3,0,1,0,"comercial","baixo"
